
Nexts,Game,Status,Color,head,tail,Shape,head,tail



N:Rg,M:Rb(0)(0)(0)__Sr(1)(0)(0)__Rr(2)(1)(1)__Sy(3)(0)(1)__Sr(4)(2)(2)__,Before shifting,Red(size =3),head:Sr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =2),head:Rb(0),tail:Rr(2)
,,,Yellow(size =1),head:Sy(3),tail:Sy(3),Square(size =3),head:Sr(1),tail:Sr(4)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Rg,M:Rb(0)(0)(0)__Rr(1)(0)(1)__Sr(2)(1)(0)__Sy(3)(0)(1)__Sr(4)(2)(2)__,Before Evaluation,Red(size =3),head:Rr(1),tail:Sr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =2),head:Rb(0),tail:Rr(1)
,,,Yellow(size =1),head:Sy(3),tail:Sy(3),Square(size =3),head:Sr(2),tail:Sr(4)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Rg,M:Rb(0)(0)(0)__Rr(1)(-1)(1)__,After Evaluation ,Red(size =1),head:Rr(1),tail:Rr(1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =2),head:Rb(0),tail:Rr(1)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =1),head:Rb(0),tail:Rb(0),Triangle(size =0),head:none(-1),tail:none(-1)

N:Rb,M:,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =0),head:none(-1),tail:none(-1)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =0),head:none(-1),tail:none(-1),Triangle(size =0),head:none(-1),tail:none(-1)

N:Rb,M:,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =0),head:none(-1),tail:none(-1)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =0),head:none(-1),tail:none(-1),Triangle(size =0),head:none(-1),tail:none(-1)

N:Rb,M:,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
,,,Green(size =0),head:none(-1),tail:none(-1),Rhombus(size =0),head:none(-1),tail:none(-1)
,,,Yellow(size =0),head:none(-1),tail:none(-1),Square(size =0),head:none(-1),tail:none(-1)
,,,Blue(size =0),head:none(-1),tail:none(-1),Triangle(size =0),head:none(-1),tail:none(-1)

N:Rb,M:,Before shifting,Red(size =0),head:none(-1),tail:none(-1),Cercle(size =0),head:none(-1),tail:none(-1)
